"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 01:33:10 GMT 2024","Wed Jun 19 01:33:12 GMT 2024","1976","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Wed Jun 19 01:33:05 GMT 2024","Wed Jun 19 01:33:07 GMT 2024","2028","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Wed Jun 19 01:33:24 GMT 2024","Wed Jun 19 01:33:26 GMT 2024","2319","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the Base URL and Title of the application are correct and as expected."
"passed","Wed Jun 19 01:33:52 GMT 2024","Wed Jun 19 01:33:54 GMT 2024","2126","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Wed Jun 19 01:32:46 GMT 2024","Wed Jun 19 01:32:46 GMT 2024","10","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"unknown","Wed Jun 19 01:32:46 GMT 2024","Wed Jun 19 01:32:46 GMT 2024","2","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Jun 19 01:33:24 GMT 2024","Wed Jun 19 01:33:27 GMT 2024","3388","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Wed Jun 19 01:33:35 GMT 2024","Wed Jun 19 01:33:38 GMT 2024","2439","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Wed Jun 19 01:33:01 GMT 2024","Wed Jun 19 01:33:05 GMT 2024","3767","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Wed Jun 19 01:33:07 GMT 2024","Wed Jun 19 01:33:09 GMT 2024","2125","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
