"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 04:27:51 GMT 2024","Sun Jun 16 04:27:53 GMT 2024","1770","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:55 GMT 2024","Sun Jun 16 04:27:57 GMT 2024","1728","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:53 GMT 2024","Sun Jun 16 04:27:55 GMT 2024","1626","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:55 GMT 2024","Sun Jun 16 04:27:57 GMT 2024","1873","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:51 GMT 2024","Sun Jun 16 04:27:53 GMT 2024","1766","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:28:07 GMT 2024","Sun Jun 16 04:28:07 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Sun Jun 16 04:27:59 GMT 2024","Sun Jun 16 04:28:01 GMT 2024","1620","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:53 GMT 2024","Sun Jun 16 04:27:55 GMT 2024","1581","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:28:04 GMT 2024","Sun Jun 16 04:28:08 GMT 2024","4023","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Sun Jun 16 04:28:03 GMT 2024","Sun Jun 16 04:28:04 GMT 2024","757","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the Base URL and Title of the application are correct and as expected."
